type,condition1,trialNo,stim1,textColor,stimFormat,key,ITI,presTime,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,thisRow.t,notes,welcome.started,text_welcome.started,press_space.started,welcome.stopped,press_space.keys,press_space.rt,press_space.duration,trial.started,key_resp.started,randomImage.started,randomImage.stopped,text_stroop.started,dot.started,text_stroop.stopped,trial.stopped,stroop.key_resp.keys,stroop.key_resp.corr,stroop.key_resp.rt,stroop.key_resp.duration,time_fixation,fixation.started,dot_fixation.started,dot_fixation.stopped,fixation.stopped,dot.stopped,thanks.started,thank_you.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
test,consistent,41,green,green,word,m,800,2000,137,19,2,m,1,0.6151804000000993,None,2,19,137,40,667.2311828999991,,,,,,,,,667.1336499999998,667.2311828999991,667.2311828999991,,667.2311828999991,667.4431568,667.4431568,667.861331600001,m,1,0.6151804000000993,None,2.974202793728427,667.8621655999996,667.8760589000012,671.4281569999985,670.8268715999984,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,15,yellow,red,word,z,800,2000,138,20,2,z,1,0.4746883000007074,None,2,20,138,14,671.4281569999985,,,,,,,,,671.1292255000008,671.4281569999985,671.4281569999985,671.4281569999985,671.4281569999985,671.5263651999994,671.5263651999994,671.9106057999998,z,1,0.4746883000007074,None,1.3387946520860807,671.9116488,671.9261641000012,673.8754578000007,673.2436904999995,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,33,yellow,green,word,z,800,2000,139,21,2,z,1,0.4559561999994912,None,2,21,139,32,673.8754578000007,,,,,,,,,673.6531207000007,673.8754578000007,673.8754578000007,673.8754578000007,673.8754578000007,673.9600473999999,673.9600473999999,674.3432587999996,z,1,0.4559561999994912,None,3.3326626593903974,674.3436337999992,674.3597482000005,678.2548198000004,677.6612262000017,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,19,green,red,word,z,800,2000,140,22,2,z,1,0.4735757000016747,None,2,22,140,18,678.2548198000004,,,,,,,,,677.9564796000013,678.2548198000004,678.2548198000004,678.2548198000004,678.2548198000004,678.3768764999986,678.3768764999986,678.7445057000004,z,1,0.4735757000016747,None,1.7726509342621042,678.745259700001,678.7606544000009,681.1546335999992,680.5113615000009,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,3,blue,red,word,z,800,2000,141,23,2,z,1,0.43870500000048196,None,2,23,141,2,681.1546335999992,,,,,,,,,680.8577688000005,681.1546335999992,681.1546335999992,681.1546335999992,681.1546335999992,681.2272641999989,681.2272641999989,681.5946814999988,z,1,0.43870500000048196,None,1.8715179956284853,681.5954362000011,681.6109257999997,684.1663427999993,683.4613778999992,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,consistent,40,yellow,yellow,word,m,800,2000,142,24,2,m,1,0.6586104000016348,None,2,24,142,39,684.1663427999993,,,,,,,,,683.7705051000012,684.1663427999993,684.1663427999993,684.1663427999993,684.1663427999993,684.169316800002,684.169316800002,684.8286391000001,m,1,0.6586104000016348,None,2.7662545801886904,684.829385699999,684.8443000000007,688.2729758999994,687.578430900001,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,consistent,51,red,red,word,m,800,2000,143,25,2,m,1,0.49924579999787966,None,2,25,143,50,688.2729758999994,,,,,,,,,687.9750839000008,688.2729758999994,688.2729758999994,688.2729758999994,688.2729758999994,688.2764784999999,688.2764784999999,688.7791523999986,m,1,0.49924579999787966,None,5.156394596277465,688.7802101000016,688.7946674000013,694.6048893000007,693.9290746000006,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,42,green,yellow,word,z,800,2000,144,26,2,z,1,0.5217108999968332,None,2,26,144,41,694.6048893000007,,,,,,,,,694.3088639000016,694.6048893000007,694.6048893000007,694.6048893000007,694.6048893000007,694.6455439999991,694.6455439999991,695.1290889000011,z,1,0.5217108999968332,None,4.153140348263695,695.1298801000012,695.1453813000007,699.8728785999992,699.2794273,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,22,red,yellow,word,z,800,2000,145,27,2,z,1,0.5551506000010704,None,2,27,145,21,699.8728785999992,,,,,,,,,699.6409066000015,699.8728785999992,699.8728785999992,699.8728785999992,699.8728785999992,699.9956440999995,699.9956440999995,700.4296370000011,z,1,0.5551506000010704,None,1.8885918675744136,700.430439300002,700.4460929999987,702.9313289999991,702.313547400001,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,48,yellow,red,word,z,800,2000,146,28,2,z,1,0.6045059000025503,None,2,28,146,47,702.9313289999991,,,,,,,,,702.6280111999986,702.9313289999991,702.9313289999991,702.9313289999991,702.9313289999991,703.029671100001,703.029671100001,703.5465809999987,z,1,0.6045059000025503,None,4.721745630019049,703.5473134999993,703.5628624000019,708.981590899999,708.2629893000012,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
